	neo_search_transaction_id	variable	value
298	73066	business	"{""company_founded"": {""company_founded"": 1981}}"
299	73067	business	"{""company_founded"": {""company_founded"": 1973}, ""payment_methods"": {""payment_methods"": ""AMEX, ALL MAJOR CREDIT CARDS, MASTERCARD, VISA, DISCOVER""}}"
300	73068	business	"{""company_founded"": {""company_founded"": 2002}}"
301	73069	business	"{""websites"": {""urls"": [{""urls"": ""http://www.1600hamiltonplace.org/""}]}, ""company_founded"": {""company_founded"": 1993}}"
302	73070	business	"{""websites"": {""urls"": [{""urls"": ""http://www.tollbrothers.com/ca/willow_glen_place_-_the_terraces""}, {""urls"": ""http://willowglenplace.com""}]}, ""company_founded"": {""company_founded"": 2009}, ""payment_methods"": {""payment_methods"": ""AMEX, CASH, DISCOVER, MASTER CARD, VISA""}}"
304	73072	business	"{""websites"": {""urls"": [{""urls"": ""http://www.mintnbasil.com""}]}, ""price_range"": {""price_range"": ""$11-30""}}"
305	73073	business	"{""websites"": {""urls"": [{""urls"": ""http://www.utpmt.com/&sa=U&ved=0ahUKEwi3msD02MPXAhUN3mMKHSpfC2QQ61gIEigGMAA&usg=AOvVaw0mFsb7pp3lU-SfBmdh3oNu""}, {""urls"": ""http://utpmt.com""}], ""rankings"": {""global_rank"": {""global_rank"": 5436029}, ""alexa_global_rank"": {""alexa_global_rank"": 8814584}}, ""site_title"": {""site_title"": ""Property Management of Texas""}, ""site_description"": {""site_description"": ""PMT has a rich history in the Austin real estate market. Since the late 1970's, we have been in the same location and were the first to pioneer the concept of condominium marketing near the University of Texas. Because of our longevity and expertise, w...""}, ""technology_stack"": {""technology_stack"": [""digital_ocean"", ""google_analytics"", ""google_maps"", ""nginx""]}}, ""ownership"": {""ownership"": ""private""}, ""sic_codes"": [""6531""], ""company_founded"": {""company_founded"": 1978}, ""sic_code_description"": [""Real Estate Agents and Managers""], ""estimated_annual_revenue"": {""estimated_annual_revenue"": ""$1,225,566""}}"
307	73003	contacts	"[{""zip"": """", ""city"": """", ""name"": ""Ted Hansen"", ""state"": """", ""title"": ""Owner"", ""street"": """", ""country"": """", ""last_name"": ""Hansen"", ""first_name"": ""Ted""}]"
310	73013	contacts	"[{""zip"": """", ""city"": """", ""name"": ""Oteri's Bakery Co Inc"", ""state"": """", ""title"": ""Owner"", ""street"": """", ""country"": """"}]"
311	73014	contacts	"[{""name"": ""Vincent Dinofa"", ""title"": ""Partner"", ""last_name"": ""Dinofa"", ""first_name"": ""Vincent""}, {""zip"": """", ""city"": """", ""name"": ""Dinofa Corporation"", ""state"": """", ""title"": ""Owner"", ""street"": """", ""country"": """"}]"
315	73031	contacts	"[{""name"": ""George Birnbaum"", ""title"": ""Principal"", ""last_name"": ""Birnbaum"", ""first_name"": ""George""}]"
322	73038	contacts	"[{""name"": ""Ed Gerch"", ""title"": ""President"", ""last_name"": ""Gerch"", ""first_name"": ""Ed""}]"
323	73039	contacts	"[{""name"": ""Gerald Tassion"", ""title"": ""General Manager"", ""last_name"": ""Tassion"", ""first_name"": ""Gerald""}, {""id"": ""32428056"", ""name"": ""Joseph M. Stokes\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32428056"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/joseph-m-stokes/32428056.aspx"", ""name"": ""Joseph M. Stokes"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""32428051"", ""name"": ""James Watson\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32428051"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/james-watson/32428051.aspx"", ""name"": ""James Watson"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""137138532"", ""name"": ""Robert J. Ardell\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""137138532"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/robert-j-ardell/137138532.aspx"", ""name"": ""Robert J. Ardell"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""137138478"", ""name"": ""Gary D. Pittman\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""137138478"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/gary-d-pittman/137138478.aspx"", ""name"": ""Gary D. Pittman"", ""type"": ""default"", ""isActive"": true}, {""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}]}, {""id"": ""38150429"", ""name"": ""Yadin David\r\n                                \r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""38150429"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/yadin-david/38150429.aspx"", ""name"": ""Yadin David"", ""type"": ""default"", ""isActive"": true}, {""id"": ""38150422"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/biomedical-engineering-consultants-llc/38150422.aspx"", ""name"": ""Biomedical Engineering Consultants, LLC"", ""type"": ""default"", ""isActive"": true}, {""id"": ""68838666"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/dfc-venture-llc/68838666.aspx"", ""name"": ""Dfc Venture, LLC"", ""type"": ""default"", ""isActive"": true}, {""id"": ""147541009"", ""url"": ""https://www.corporationwiki.com/p/2fubdd/longhorn-surgical-consulting-llc"", ""name"": ""Longhorn Surgical Consulting LLC"", ""type"": ""default"", ""isActive"": true}, {""id"": ""38685286"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/innovation-integration-group-llc/38685286.aspx"", ""name"": ""Innovation & Integration Group, LLC"", ""type"": ""default""}, {""id"": ""68578606"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/80001-experts-llc/68578606.aspx"", ""name"": ""80001 Experts, LLC"", ""type"": ""default""}]}, {""id"": ""30345636"", ""name"": ""Barbara Feldman\r\n                                \r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""30345636"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/barbara-feldman/30345636.aspx"", ""name"": ""Barbara Feldman"", ""type"": ""default"", ""isActive"": true}, {""id"": ""29919732"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/congregation-emanu-el-of-houston-texas/29919732.aspx"", ""name"": ""Congregation Emanu El of Houston, Texas"", ""type"": ""default"", ""isActive"": true}, {""id"": ""31400896"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/barons-jewelers-inc/31400896.aspx"", ""name"": ""Baron's Jewelers, Inc."", ""type"": ""default""}, {""id"": ""34525484"", ""url"": ""https://www.corporationwiki.com/p/kk018/hillel-foundation-of-greater-houston-inc"", ""name"": ""Hillel Foundation of Greater Houston, Inc."", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""33810278"", ""name"": ""Anna Steinberger\r\n                                \r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""33810278"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/anna-steinberger/33810278.aspx"", ""name"": ""Anna Steinberger"", ""type"": ""default"", ""isActive"": true}, {""id"": ""33322160"", ""url"": ""https://www.corporationwiki.com/p/ju7jk/holocaust-museum-houston"", ""name"": ""Holocaust Museum Houston"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""137138517"", ""name"": ""D. Scott Ingersoll\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""137138517"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/d-scott-ingersoll/137138517.aspx"", ""name"": ""D. Scott Ingersoll"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""32428044"", ""name"": ""Tom Baker\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32428044"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/tom-baker/32428044.aspx"", ""name"": ""Tom Baker"", ""type"": ""default""}]}, {""id"": ""32428062"", ""name"": ""Brad Wertman\r\n                                \r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32428062"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/brad-wertman/32428062.aspx"", ""name"": ""Brad Wertman"", ""type"": ""default"", ""isActive"": true}, {""id"": ""32620030"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/houston-pathology-associates/32620030.aspx"", ""name"": ""Houston Pathology Associates"", ""type"": ""default"", ""isActive"": true}, {""id"": ""38592083"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/vibra-llc/38592083.aspx"", ""name"": ""Vibra, LLC"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""32428092"", ""name"": ""Steppie Holsclaw\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32428092"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/steppie-holsclaw/32428092.aspx"", ""name"": ""Steppie Holsclaw"", ""type"": ""default""}]}, {""id"": ""32428098"", ""name"": ""Ed Hennessy\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32428098"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/ed-hennessy/32428098.aspx"", ""name"": ""Ed Hennessy"", ""type"": ""default""}]}, {""id"": ""32428104"", ""name"": ""Ron Dokell\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32025769"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/the-warwick-towers-council-of-co-owners/32025769.aspx"", ""name"": ""The Warwick Towers Council of Co-Owners"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32428104"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/ron-dokell/32428104.aspx"", ""name"": ""Ron Dokell"", ""type"": ""default""}]}]"
324	73040	contacts	"[{""id"": ""68779937"", ""name"": ""Maricela Ferretiz\r\n                                \r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""68779937"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/maricela-ferretiz/68779937.aspx"", ""name"": ""Maricela Ferretiz"", ""type"": ""default"", ""isActive"": true}, {""id"": ""35215213"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/wilcrest-garden-condominiums-association/35215213.aspx"", ""name"": ""Wilcrest Garden Condominiums Association"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""68765753"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/garden-apartment-rentals-llc/68765753.aspx"", ""name"": ""Garden Apartment Rentals, LLC"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""68772972"", ""name"": ""Silvio Luna\r\n                                \r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""68765753"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/garden-apartment-rentals-llc/68765753.aspx"", ""name"": ""Garden Apartment Rentals, LLC"", ""type"": ""default"", ""isActive"": true}, {""id"": ""68772972"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/silvio-luna/68772972.aspx"", ""name"": ""Silvio Luna"", ""type"": ""default"", ""isActive"": true}, {""id"": ""35215213"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/wilcrest-garden-condominiums-association/35215213.aspx"", ""name"": ""Wilcrest Garden Condominiums Association"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""147773984"", ""url"": ""https://www.corporationwiki.com/p/2fzb4w/royal-luna-inc"", ""name"": ""Royal Luna Inc"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""35215216"", ""name"": ""Maricela F. Hernandez\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""35215213"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/wilcrest-garden-condominiums-association/35215213.aspx"", ""name"": ""Wilcrest Garden Condominiums Association"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""35215216"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/maricela-f-hernandez/35215216.aspx"", ""name"": ""Maricela F. Hernandez"", ""type"": ""default""}], ""last_name"": ""Hernandez"", ""first_name"": ""Maricela""}, {""id"": ""68182447"", ""name"": ""Glenn Penry\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""35215213"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/wilcrest-garden-condominiums-association/35215213.aspx"", ""name"": ""Wilcrest Garden Condominiums Association"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""68182447"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/glenn-penry/68182447.aspx"", ""name"": ""Glenn Penry"", ""type"": ""default""}]}, {""id"": ""68182462"", ""name"": ""Mario Hernandez\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""35215213"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/wilcrest-garden-condominiums-association/35215213.aspx"", ""name"": ""Wilcrest Garden Condominiums Association"", ""type"": ""focus"", ""isActive"": true}, {""id"": ""68182462"", ""url"": ""https://www.corporationwiki.com/Texas/Houston/mario-hernandez/68182462.aspx"", ""name"": ""Mario Hernandez"", ""type"": ""default""}]}]"
327	73043	contacts	"[{""name"": ""Nelly Maya"", ""title"": ""Principal"", ""last_name"": ""Maya"", ""first_name"": ""Nelly""}]"
328	73044	contacts	"[{""name"": ""David Roberts"", ""title"": ""President"", ""last_name"": ""Roberts"", ""first_name"": ""David""}]"
329	73045	contacts	"[{""name"": ""Tamara Cartmill"", ""title"": ""Manager"", ""last_name"": ""Cartmill"", ""first_name"": ""Tamara""}, {""zip"": """", ""city"": """", ""name"": ""Barbara Ronca"", ""state"": """", ""title"": ""Owner"", ""street"": """", ""country"": """", ""last_name"": ""Ronca"", ""first_name"": ""Barbara""}]"
330	73046	contacts	"[{""zip"": """", ""city"": """", ""name"": ""NINA P FERRANT"", ""state"": """", ""title"": ""OWNER"", ""street"": """", ""country"": """", ""last_name"": ""FERRANT"", ""first_name"": ""NINA""}]"
332	73048	contacts	"[{""name"": ""Scott Ambrosino"", ""title"": ""President"", ""last_name"": ""Ambrosino"", ""first_name"": ""Scott""}]"
334	73050	contacts	"[{""zip"": ""85261"", ""city"": ""Scottsdale"", ""name"": ""Cory Mishkin"", ""state"": ""AZ"", ""title"": ""SECRETARY"", ""street"": ""P O BOX 4372"", ""country"": ""US"", ""last_name"": ""Mishkin"", ""first_name"": ""Cory""}, {""zip"": ""85261"", ""city"": ""Scottsdale"", ""name"": ""Keith Marc Mishkin"", ""state"": ""AZ"", ""title"": ""PRESIDENT"", ""street"": ""P O BOX 4372"", ""country"": ""US"", ""last_name"": ""Mishkin"", ""first_name"": ""Keith"", ""middle_name"": ""Marc""}]"
335	73051	contacts	"[{""zip"": ""85015"", ""city"": ""Phoenix"", ""name"": ""George Pavia"", ""state"": ""AZ"", ""title"": ""PRESIDENT"", ""street"": ""1922 W HAZELWOOD PARKWAY"", ""country"": ""US"", ""last_name"": ""Pavia"", ""first_name"": ""George""}, {""zip"": ""85015"", ""city"": ""Phoenix"", ""name"": ""John Krien"", ""state"": ""AZ"", ""title"": ""DIRECTOR"", ""street"": ""4670 N 19TH AVE"", ""country"": ""US"", ""last_name"": ""Krien"", ""first_name"": ""John""}, {""zip"": ""85015"", ""city"": ""Phoenix"", ""name"": ""KARLENE EDWARDS"", ""state"": ""AZ"", ""title"": ""DIRECTOR"", ""street"": ""4634 N. 19TH AVE."", ""country"": ""US"", ""last_name"": ""EDWARDS"", ""first_name"": ""KARLENE""}, {""zip"": ""85015"", ""city"": ""Phoenix"", ""name"": ""Marvin Freeman"", ""state"": ""AZ"", ""title"": ""VICE-PRESIDENT"", ""street"": ""4672 N 19TH AVE"", ""country"": ""US"", ""last_name"": ""Freeman"", ""first_name"": ""Marvin""}, {""zip"": ""85015"", ""city"": ""Phoenix"", ""name"": ""Mary Bode"", ""state"": ""AZ"", ""title"": ""TREASURER"", ""street"": ""1917 W HAZELWOOD PKWY"", ""country"": ""US"", ""last_name"": ""Bode"", ""first_name"": ""Mary""}, {""zip"": ""85015"", ""city"": ""Phoenix"", ""name"": ""MICHAEL WHITE"", ""state"": ""AZ"", ""title"": ""DIRECTOR"", ""street"": ""2057 W. HAZELWOOD PARKWAY"", ""country"": ""US"", ""last_name"": ""WHITE"", ""first_name"": ""MICHAEL""}, {""zip"": ""85015"", ""city"": ""Phoenix"", ""name"": ""TOM DRISLER"", ""state"": ""AZ"", ""title"": ""SECRETARY"", ""street"": ""2062 W. HAZELWOOD PARKWAY"", ""country"": ""US"", ""last_name"": ""DRISLER"", ""first_name"": ""TOM""}]"
336	73052	contacts	"[{""zip"": ""85003"", ""city"": ""Phoenix"", ""name"": ""COLE VAN NORMAN"", ""state"": ""AZ"", ""title"": ""PRESIDENT"", ""street"": ""304 WEST ROOSEVELT ST #106"", ""country"": ""US"", ""last_name"": ""NORMAN"", ""first_name"": ""COLE""}, {""zip"": ""85003"", ""city"": ""Phoenix"", ""name"": ""HEATHER LACROIX"", ""state"": ""AZ"", ""title"": ""TREASURER"", ""street"": ""304 WEST ROOSEVELT ST #101"", ""country"": ""US"", ""last_name"": ""LACROIX"", ""first_name"": ""HEATHER""}, {""zip"": ""85003"", ""city"": ""Phoenix"", ""name"": ""NORMA HALL"", ""state"": ""AZ"", ""title"": ""SECRETARY"", ""street"": ""304 WEST ROOSEVELT ST #103"", ""country"": ""US"", ""last_name"": ""HALL"", ""first_name"": ""NORMA""}]"
338	73054	contacts	"[{""name"": ""Ray Ferland"", ""title"": ""President"", ""last_name"": ""Ferland"", ""first_name"": ""Ray""}, {""id"": ""georgia-keating"", ""name"": ""Georgia Keating\r\n                        \r\n                                  Background Report""}, {""id"": ""32465230"", ""name"": ""Mark Skruhak\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32059705"", ""url"": ""https://www.corporationwiki.com/Texas/San-Antonio/calais-villas-condominiums-homeowners-association-inc/32059705.aspx"", ""name"": ""Calais Villas Condominiums Homeowners Association, Inc."", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32465230"", ""url"": ""https://www.corporationwiki.com/Texas/San-Antonio/mark-skruhak/32465230.aspx"", ""name"": ""Mark Skruhak"", ""type"": ""default"", ""isActive"": true}]}, {""id"": ""amanda-busbee"", ""name"": ""Amanda Busbee\r\n                        \r\n                                  Background Report""}, {""id"": ""maria-christina-neuhaus"", ""name"": ""Maria Christina Neuhaus\r\n                        \r\n                                  Background Report""}, {""id"": ""ted-skekel"", ""name"": ""Ted Skekel\r\n                        \r\n                                  Background Report""}, {""id"": ""debra-collins"", ""name"": ""Debra Collins\r\n                        \r\n                                  Background Report""}, {""id"": ""donna-wilson"", ""name"": ""Donna Wilson\r\n                        \r\n                                  Background Report""}, {""id"": ""henry-rangel"", ""name"": ""Henry Rangel\r\n                        \r\n                                  Background Report""}, {""id"": ""32465215"", ""name"": ""Ray Ferland\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32059705"", ""url"": ""https://www.corporationwiki.com/Texas/San-Antonio/calais-villas-condominiums-homeowners-association-inc/32059705.aspx"", ""name"": ""Calais Villas Condominiums Homeowners Association, Inc."", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32465215"", ""url"": ""https://www.corporationwiki.com/Texas/San-Antonio/ray-ferland/32465215.aspx"", ""name"": ""Ray Ferland"", ""type"": ""default""}]}, {""id"": ""32465256"", ""name"": ""Ruth Dracoulis\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32059705"", ""url"": ""https://www.corporationwiki.com/Texas/San-Antonio/calais-villas-condominiums-homeowners-association-inc/32059705.aspx"", ""name"": ""Calais Villas Condominiums Homeowners Association, Inc."", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32465256"", ""url"": ""https://www.corporationwiki.com/Texas/San-Antonio/ruth-dracoulis/32465256.aspx"", ""name"": ""Ruth Dracoulis"", ""type"": ""default""}]}, {""id"": ""32465224"", ""name"": ""Chris Neuhaus\r\n                        \r\n                                  Background Report"", ""related"": [{""id"": ""32059705"", ""url"": ""https://www.corporationwiki.com/Texas/San-Antonio/calais-villas-condominiums-homeowners-association-inc/32059705.aspx"", ""name"": ""Calais Villas Condominiums Homeowners Association, Inc."", ""type"": ""focus"", ""isActive"": true}, {""id"": ""32465224"", ""url"": ""https://www.corporationwiki.com/Texas/San-Antonio/chris-neuhaus/32465224.aspx"", ""name"": ""Chris Neuhaus"", ""type"": ""default""}]}]"
